CHAPTER_TYPE,CHAPTER,SECTION,PARAGRAPH,DESCRIPT,BUDGET_YEAR
E,4,4,1,المساهمة في النشاطات الثقافية,2023
E,4,5,1,المساهمة في النشاطات التربوية,2023
E,4,6,1,المساهمة في النشاطات الرياضية,2023
E,4,7,1,المساهمة في النشاطات الاجتماعية,2023
E,4,8,1,المنح والجوائز المدرسية,2023
E,4,9,1,مساعدة المدارس,2023
E,4,10,1,مساعدة المكتبات,2023
E,4,11,1,مساعدة الهيئات التي لا تتوخّى الربح,2023
E,4,12,1,مساهمات إلى القطاع العام,2023
E,5,1,1,الاستقبالات,2023
E,5,2,1,الاحتفالات والمهرجانات,2023
E,5,3,1,رسوم الدعاوى والأحكام والمصالحات وأتعاب المحاماة,2023
E,5,4,1,المساهمة في موازنة اتحاد البلديات,2023
E,5,5,1,رديات,2023
E,5,6,1,نفقات التأمين,2023
E,5,7,1,إيفاء القروض,2023
E,5,9,1,المصاريف الأخرى غير الملحوظة,2023
E,6,1,1,احتياط الموازنة,2023
E,1,1,1,تعويضات الرئاسة,2024
E,1,2,1,رواتب الموظفين,2024
E,1,3,1,بدلات التعاقد,2024
E,1,4,1,أجور الأجراء,2024
E,1,5,1,عائدات الجباية والغرامة,2024
E,1,6,1,المكافآت والتعويضات والتقديمات المختلفة,2024
E,1,7,1,اللوازم,2024
E,1,8,1,الملابس,2024
E,1,9,1,بدلات الإيجار والخدمات المشتركة,2024
E,1,10,1,المخابرات الهاتفية والبريد والبرق,2024
E,1,11,1,نفقات إدارية أخرى,2024
E,2,1,1,التجهيزات,2024
E,2,2,1,صيانة التجهيزات والآليات,2024
E,2,3,1,المفروشات,2024
E,2,4,1,النظافة العامة,2024
E,2,5,1,صيانة المباني,2024
E,2,6,1,شراء الآليات,2024
E,2,7,1,مكافحة الحشرات,2024
E,2,8,1,لوازم التنظيفات,2024
E,2,9,1,المحروقات,2024
E,2,10,1,أجور النقل والانتقال,2024
E,2,11,1,أجور العمّال اليوميين,2024
E,2,12,1,بدلات استهلاك الكهرباء,2024
E,2,13,1,بدلات اشتراك المياه,2024
E,2,14,1,صيانة الطرق العامة,2024
E,2,15,1,صيانة شبكات المياه,2024
E,2,16,1,صيانة شبكات الإنارة العامة,2024
E,3,1,1,إنشاء المباني,2024
E,3,2,1,إنشاء شبكات الإنارة العامة,2024
E,3,3,1,إنشاء شبكات المياه,2024
E,3,4,1,إنشاء شبكات المجارير,2024
E,3,5,1,إنشاء الطرق العامة والأرصفة والأقنية,2024
E,3,6,1,إنشاء الحدائق,2024
E,3,7,1,إنشاء الملاعب والمسابح,2024
E,3,8,1,إنشاءات أخرى,2024
E,3,9,1,نفقات الدروس,2024
E,3,10,1,تعويضات الإستملاك,2024
E,3,11,1,شراء الأبنية,2024
E,3,12,1,شراء العقارات,2024
