PAY_TRANS_ID,DOCUMENT_SEQ,TRANSACTION_SEQ,TRANSACTION_DESC,BALADIEH_INT_ID,AMOUNT,ACCOUNT_TYPE,SUB_LEDGER_ID,FEE_TYPE,FEE_DETAIL,FEE_TYPE_ID,FEE_TYPE_DET,PAYMENT_TYPE,TRANS_TYPE,TRANS_NUM,LINE_NUM,CHECK_SEQ,CHECK_NUM,BANK_CODE,CHECK_PAYOR,CHECK_DATE,CHECK_SEQ_ACC
2187,1,2,قبض رسوم - بيان رقم 2006/1374 إيصال رقم 3584,165,440000,CREDIT,766.0,DIRECT,FEE,15.0,0.0,,,,,,,,,,
2187,1,3,قبض رسوم - بيان رقم 2006/1374 إيصال رقم 3584,165,46000,CREDIT,607.0,DIRECT,FEE,30.0,0.0,,,,,,,,,,
2187,1,4,قبض رسوم - بيان رقم 2006/1374 إيصال رقم 3584,165,510000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2188,1,1,قبض رسوم - بيان رقم 2006/1375 إيصال رقم 3585,165,60000,CREDIT,756.0,DIRECT,FEE,24.0,0.0,,,,,,,,,,
2188,1,2,قبض رسوم - بيان رقم 2006/1375 إيصال رقم 3585,165,60000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2189,1,1,قبض رسوم - بيان رقم 2006/1347 إيصال رقم 3587,165,12000,CREDIT,752.0,DIRECT,FEE,12.0,0.0,,,,,,,,,,
2348,1,3,قبض رسوم - بيان رقم 2006/925 إيصال رقم 6131,165,59000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2189,1,3,قبض رسوم - بيان رقم 2006/1347 إيصال رقم 3587,165,66000,CREDIT,607.0,DIRECT,FEE,30.0,0.0,,,,,,,,,,
2189,1,4,قبض رسوم - بيان رقم 2006/1347 إيصال رقم 3587,165,726000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2190,1,1,قبض رسوم - بيان رقم 2006/1376 إيصال رقم 3588,165,23846000,CREDIT,,DIRECT,FEE,207.0,0.0,,,,,,,,,,
2190,1,2,قبض رسوم - بيان رقم 2006/1376 إيصال رقم 3588,165,23846000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2191,1,1,قبض رسوم - بيان رقم 2006/651 إيصال رقم 6001,165,17000,CREDIT,749.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2191,1,2,قبض رسوم - بيان رقم 2006/651 إيصال رقم 6001,165,55000,CREDIT,747.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2191,1,3,قبض رسوم - بيان رقم 2006/651 إيصال رقم 6001,165,72000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2192,1,1,قبض رسوم - بيان رقم 2006/347 إيصال رقم 6002,165,17000,CREDIT,749.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2192,1,2,قبض رسوم - بيان رقم 2006/347 إيصال رقم 6002,165,55000,CREDIT,747.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2192,1,3,قبض رسوم - بيان رقم 2006/347 إيصال رقم 6002,165,72000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2193,1,1,قبض رسوم - بيان رقم 2006/372 إيصال رقم 6003,165,17000,CREDIT,749.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2193,1,2,قبض رسوم - بيان رقم 2006/372 إيصال رقم 6003,165,55000,CREDIT,747.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2193,1,3,قبض رسوم - بيان رقم 2006/372 إيصال رقم 6003,165,72000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2194,1,1,قبض رسوم - بيان رقم 2005/458 إيصال رقم 6004,165,17000,CREDIT,749.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2194,1,2,قبض رسوم - بيان رقم 2005/458 إيصال رقم 6004,165,55000,CREDIT,747.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2194,1,3,قبض رسوم - بيان رقم 2005/458 إيصال رقم 6004,165,72000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2195,1,1,قبض رسوم - بيان رقم 2006/339 إيصال رقم 6004,165,17000,CREDIT,749.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2195,1,2,قبض رسوم - بيان رقم 2006/339 إيصال رقم 6004,165,55000,CREDIT,747.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2195,1,3,قبض رسوم - بيان رقم 2006/339 إيصال رقم 6004,165,72000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2196,1,1,قبض رسوم - بيان رقم 2006/246 إيصال رقم 6005,165,17000,CREDIT,749.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2196,1,2,قبض رسوم - بيان رقم 2006/246 إيصال رقم 6005,165,55000,CREDIT,747.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2196,1,3,قبض رسوم - بيان رقم 2006/246 إيصال رقم 6005,165,72000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2197,1,1,قبض رسوم - بيان رقم 2006/725 إيصال رقم 6006,165,17000,CREDIT,749.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
2197,1,2,قبض رسوم - بيان رقم 2006/725 إيصال رقم 6006,165,55000,CREDIT,747.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
2228,1,2,قبض رسوم - بيان رقم 2006/168 إيصال رقم 6031,165,55000,CREDIT,747.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
3161,1,1,قبض رسوم - بيان رقم 2007/1193 إيصال رقم 6650,165,6000,CREDIT,888.0,DIRECT,FEE,14.0,0.0,,,,,,,,,,
3161,1,2,قبض رسوم - بيان رقم 2007/1193 إيصال رقم 6650,165,1000,CREDIT,607.0,DIRECT,FEE,30.0,0.0,,,,,,,,,,
3161,1,3,قبض رسوم - بيان رقم 2007/1193 إيصال رقم 6650,165,7000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3162,1,1,قبض رسوم - بيان رقم 2007/980 إيصال رقم 6651,165,14000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
3162,1,2,قبض رسوم - بيان رقم 2007/980 إيصال رقم 6651,165,45000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
3162,1,3,قبض رسوم - بيان رقم 2007/980 إيصال رقم 6651,165,59000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3163,1,1,قبض رسوم - بيان رقم 2006/840 إيصال رقم 6652,165,11000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
3163,1,2,قبض رسوم - بيان رقم 2006/840 إيصال رقم 6652,165,35000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
3163,1,3,قبض رسوم - بيان رقم 2006/840 إيصال رقم 6652,165,46000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3164,1,1,قبض رسوم - بيان رقم 2007/853 إيصال رقم 6652,165,11000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
3164,1,2,قبض رسوم - بيان رقم 2007/853 إيصال رقم 6652,165,35000,CREDIT,870.0,DIRECT,FEE,1.0,1.0,,,,,,,,,,
3164,1,3,قبض رسوم - بيان رقم 2007/853 إيصال رقم 6652,165,46000,DEBIT,647.0,,,,,10.0,,,,,,,,,
3165,1,1,قبض رسوم - بيان رقم 2007/245 إيصال رقم 6653,165,17000,CREDIT,872.0,DIRECT,FEE,2.0,0.0,,,,,,,,,,
