CHAPTER_TYPE,CHAPTER,DESCRIPT,BUDGET_YEAR
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2005
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2005
I,4,العائدات المتنوعة,2005
E,1,النفقات الادارية,2005
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2005
E,3,نفقات المشاريع الانشائية,2005
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2005
E,4,نفقات الخدمات والمساعدات,2005
E,5,النفقات المتنوعة,2005
E,6,الاحتياط,2005
E,1,النفقات الادارية,2004
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2004
E,3,نفقات المشاريع الانشائية,2004
E,4,نفقات الخدمات والمساعدات,2004
E,5,النفقات المتنوعة,2004
E,6,الاحتياط,2004
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2004
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2004
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2004
I,4,العائدات المتنوعة,2004
E,1,النفقات الادارية,2006
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2006
E,3,نفقات المشاريع الانشائية,2006
E,4,نفقات الخدمات والمساعدات,2006
E,5,النفقات المتنوعة,2006
E,6,الاحتياط,2006
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2006
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2006
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2006
I,4,العائدات المتنوعة,2006
E,1,النفقات الادارية,2007
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2007
E,1,النفقات الادارية,2020
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2020
E,3,نفقات المشاريع الانشائية,2020
E,4,نفقات الخدمات والمساعدات,2020
E,5,النفقات المتنوعة,2020
E,6,الاحتياط,2020
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2020
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2020
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2020
I,4,العائدات المتنوعة,2020
E,1,النفقات الادارية,2021
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2021
E,3,نفقات المشاريع الانشائية,2021
E,4,نفقات الخدمات والمساعدات,2021
E,5,النفقات المتنوعة,2021
E,6,الاحتياط,2021
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2021
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2021
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2021
I,4,العائدات المتنوعة,2021
E,1,النفقات الادارية,2022
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2022
E,3,نفقات المشاريع الانشائية,2022
E,4,نفقات الخدمات والمساعدات,2022
E,5,النفقات المتنوعة,2022
E,6,الاحتياط,2022
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2022
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2022
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2022
I,4,العائدات المتنوعة,2022
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2023
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2023
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2023
I,4,العائدات المتنوعة,2023
E,1,النفقات الادارية,2023
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2023
E,3,نفقات المشاريع الانشائية,2023
E,4,نفقات الخدمات والمساعدات,2023
E,5,النفقات المتنوعة,2023
E,6,الاحتياط,2023
E,3,نفقات المشاريع الانشائية,2007
E,4,نفقات الخدمات والمساعدات,2007
E,5,النفقات المتنوعة,2007
E,6,الاحتياط,2007
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2007
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2007
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2007
I,4,العائدات المتنوعة,2007
I,2,الرسوم التي تستوفيها الدولة أو المصالح المستقلة أو المؤسسات العامة أو الخاصة وتؤديها مباشرة إلى البلدية المعنية,2008
I,3,الرسوم التي تستوفيها الدولة لحساب جميع البلديات (عائدات البلدية من الصندوق البلدي المستقل),2008
I,4,العائدات المتنوعة,2008
E,1,النفقات الادارية,2008
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2008
E,3,نفقات المشاريع الانشائية,2008
I,1,الرسوم التي تستوفيها البلدية بطريقة مباشرة من المكلفين,2008
E,4,نفقات الخدمات والمساعدات,2008
E,5,النفقات المتنوعة,2008
E,6,الاحتياط,2008
E,1,النفقات الادارية,2017
E,2,نفقات التجهيزات والصيانة والنظافة العامة,2017
E,3,نفقات المشاريع الانشائية,2017
