CHAPTER_TYPE,CHAPTER,SECTION,DESCRIPT,BUDGET_YEAR
E,2,6,شراء الآليات,2008
E,2,7,مكافحة الحشرات,2008
E,2,9,المحروقات,2008
E,3,1,إنشاء المباني,2008
E,3,2,إنشاء شبكات الإنارة العامة,2008
E,3,3,إنشاء شبكات المياه,2008
E,3,4,إنشاء شبكات المجارير,2008
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2008
E,3,6,إنشاء الحدائق,2008
E,3,7,إنشاء الملاعب والمسابح,2008
E,3,9,نفقات الدروس,2008
E,4,1,التخصيصات الصحية,2008
E,4,2,مساعدة المعوزين,2008
E,4,3,مساعدة الأوقاف الخيرية,2008
E,4,4,المساهمة في النشاطات الثقافية,2008
E,4,5,المساهمة في النشاطات التربوية,2008
E,4,6,المساهمة في النشاطات الرياضية,2008
E,4,7,المساهمة في النشاطات الاجتماعية,2008
E,4,8,المنح والجوائز المدرسية,2008
E,4,9,مساعدة المدارس,2008
E,4,10,مساعدة المكتبات,2008
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2008
E,5,1,الاستقبالات,2008
E,5,2,الاحتفالات والمهرجانات,2008
E,5,4,المساهمة في موازنة اتحاد البلديات,2008
E,5,5,رديات,2008
E,6,1,احتياط الموازنة,2008
I,1,1,رسم على القيمة التأجيرية (سكن),2008
I,1,2,رسم على القيمة التأجيرية (غير سكن),2008
I,1,3,رسم صيانة المجارير والأرصفة,2008
E,4,2,مساعدة المعوزين,2027
E,4,3,مساعدة الأوقاف الخيرية,2027
E,4,4,المساهمة في النشاطات الثقافية,2027
E,4,5,المساهمة في النشاطات التربوية,2027
E,4,6,المساهمة في النشاطات الرياضية,2027
E,4,7,المساهمة في النشاطات الاجتماعية,2027
E,4,8,المنح والجوائز المدرسية,2027
E,4,9,مساعدة المدارس,2027
E,4,10,مساعدة المكتبات,2027
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2027
E,4,12,مساهمات إلى القطاع العام,2027
E,5,1,الاستقبالات,2027
E,5,2,الاحتفالات والمهرجانات,2027
E,5,4,المساهمة في موازنة اتحاد البلديات,2027
E,5,5,رديات,2027
E,5,6,نفقات التأمين,2027
E,5,7,إيفاء القروض,2027
E,5,9,المصاريف الأخرى غير الملحوظة,2027
E,6,1,احتياط الموازنة,2027
I,1,1,رسم على القيمة التأجيرية (سكن),2027
I,1,2,رسم على القيمة التأجيرية (غير سكن),2027
I,1,3,رسم صيانة المجارير والأرصفة,2027
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2027
I,1,9,رسم الترخيص للمؤسسات المصنفة,2027
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2027
I,1,11,رسم الترخيص بالبناء,2027
I,1,13,رسم إنفاق في وجوه محددة,2027
I,1,14,رسم تصوينة,2027
I,1,15,رسم الترميم,2027
I,1,16,رسم إنشاء مجارير وأرصفة,2027
I,1,17,رسم المرآب,2027
I,1,19,رسم الإستثمار للإعلان الدائم,2027
I,1,20,رسم الإستثمار للإعلان المؤقت,2027
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2027
I,1,26,الرسم النسبي على المزايدات,2027
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2027
I,1,31,رسم تسجيل عقود الإيجار,2027
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2027
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2027
I,1,36,واردات مباشرة غير ملحوظة,2027
I,1,37,غرامات الاعمال غير المنفذة من البناء,2027
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2027
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2027
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2027
I,2,7,ضريبة التحسين,2027
I,2,8,عائدات أخرى,2027
I,3,1,الحصة العائدة لدعم الموازنة,2027
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2027
I,4,1,المساعدات,2027
I,4,2,الفوائد,2027
I,4,3,القروض,2027
I,4,4,الهبات والوصايا,2027
I,4,5,الغرامات,2027
I,4,6,حاصلات الأملاك المبنية والمشاعات,2027
I,4,7,النقد المدور,2027
I,4,9,سائر العائدات غير الملحوظة,2027
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2008
I,1,9,رسم الترخيص للمؤسسات المصنفة,2008
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2008
I,1,11,رسم الترخيص بالبناء,2008
E,1,1,تعويضات الرئاسة,2009
E,1,2,رواتب الموظفين,2009
E,1,3,بدلات التعاقد,2009
E,1,4,أجور الأجراء,2009
E,1,5,عائدات الجباية والغرامة,2009
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2009
E,1,7,اللوازم,2009
E,1,8,الملابس,2009
E,1,9,بدلات الإيجار والخدمات المشتركة,2009
E,1,10,المخابرات الهاتفية والبريد والبرق,2009
E,1,11,نفقات إدارية أخرى,2009
E,2,1,التجهيزات,2009
E,2,2,صيانة التجهيزات والآليات,2009
E,2,3,المفروشات,2009
E,2,4,النظافة العامة,2009
E,2,5,صيانة المباني,2009
E,2,6,شراء الآليات,2009
E,2,7,مكافحة الحشرات,2009
E,2,8,لوازم التنظيفات,2009
E,2,9,المحروقات,2009
E,2,10,أجور النقل والانتقال,2009
E,2,11,أجور العمّال اليوميين,2009
E,2,12,بدلات استهلاك الكهرباء,2009
E,2,13,بدلات اشتراك المياه,2009
E,2,14,صيانة الطرق العامة,2009
E,2,15,صيانة شبكات المياه,2009
E,2,16,صيانة شبكات الإنارة العامة,2009
E,3,1,إنشاء المباني,2009
E,3,2,إنشاء شبكات الإنارة العامة,2009
E,3,3,إنشاء شبكات المياه,2009
E,5,7,إيفاء القروض,2010
E,3,4,إنشاء شبكات المجارير,2009
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2009
E,3,6,إنشاء الحدائق,2009
E,3,7,إنشاء الملاعب والمسابح,2009
E,3,8,إنشاءات أخرى,2009
E,3,9,نفقات الدروس,2009
E,3,10,تعويضات الإستملاك,2009
E,3,11,شراء الأبنية,2009
E,3,12,شراء العقارات,2009
E,4,1,التخصيصات الصحية,2009
E,4,2,مساعدة المعوزين,2009
E,4,3,مساعدة الأوقاف الخيرية,2009
E,4,4,المساهمة في النشاطات الثقافية,2009
E,4,5,المساهمة في النشاطات التربوية,2009
E,4,6,المساهمة في النشاطات الرياضية,2009
E,4,7,المساهمة في النشاطات الاجتماعية,2009
E,4,8,المنح والجوائز المدرسية,2009
E,4,9,مساعدة المدارس,2009
E,4,10,مساعدة المكتبات,2009
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2009
E,4,12,مساهمات إلى القطاع العام,2009
E,5,1,الاستقبالات,2009
E,5,2,الاحتفالات والمهرجانات,2009
E,5,4,المساهمة في موازنة اتحاد البلديات,2009
E,5,5,رديات,2009
E,5,6,نفقات التأمين,2009
E,5,7,إيفاء القروض,2009
E,5,9,المصاريف الأخرى غير الملحوظة,2009
E,6,1,احتياط الموازنة,2009
I,1,1,رسم على القيمة التأجيرية (سكن),2009
I,1,2,رسم على القيمة التأجيرية (غير سكن),2009
I,1,3,رسم صيانة المجارير والأرصفة,2009
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2009
I,1,9,رسم الترخيص للمؤسسات المصنفة,2009
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2009
I,1,11,رسم الترخيص بالبناء,2009
I,1,13,رسم إنفاق في وجوه محددة,2009
I,1,14,رسم تصوينة,2009
I,1,15,رسم الترميم,2009
I,1,16,رسم إنشاء مجارير وأرصفة,2009
I,1,17,رسم المرآب,2009
I,1,19,رسم الإستثمار للإعلان الدائم,2009
I,1,20,رسم الإستثمار للإعلان المؤقت,2009
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2009
I,1,26,الرسم النسبي على المزايدات,2009
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2009
I,1,31,رسم تسجيل عقود الإيجار,2009
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2009
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2009
I,1,36,واردات مباشرة غير ملحوظة,2009
I,1,37,غرامات الاعمال غير المنفذة من البناء,2009
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2009
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2009
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2009
I,2,7,ضريبة التحسين,2009
I,2,8,عائدات أخرى,2009
I,3,1,الحصة العائدة لدعم الموازنة,2009
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2009
I,4,1,المساعدات,2009
I,4,2,الفوائد,2009
I,4,3,القروض,2009
I,4,4,الهبات والوصايا,2009
I,4,5,الغرامات,2009
I,4,6,حاصلات الأملاك المبنية والمشاعات,2009
I,4,7,النقد المدور,2009
I,4,9,سائر العائدات غير الملحوظة,2009
E,1,1,تعويضات الرئاسة,2010
E,1,2,رواتب الموظفين,2010
E,1,3,بدلات التعاقد,2010
E,1,4,أجور الأجراء,2010
E,1,5,عائدات الجباية والغرامة,2010
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2010
E,1,7,اللوازم,2010
E,1,8,الملابس,2010
E,1,9,بدلات الإيجار والخدمات المشتركة,2010
E,1,10,المخابرات الهاتفية والبريد والبرق,2010
E,1,11,نفقات إدارية أخرى,2010
E,2,1,التجهيزات,2010
E,2,2,صيانة التجهيزات والآليات,2010
E,2,3,المفروشات,2010
E,2,4,النظافة العامة,2010
E,2,5,صيانة المباني,2010
E,2,6,شراء الآليات,2010
E,2,7,مكافحة الحشرات,2010
E,2,8,لوازم التنظيفات,2010
E,2,9,المحروقات,2010
E,2,10,أجور النقل والانتقال,2010
E,2,11,أجور العمّال اليوميين,2010
E,2,12,بدلات استهلاك الكهرباء,2010
E,2,13,بدلات اشتراك المياه,2010
E,2,14,صيانة الطرق العامة,2010
E,2,15,صيانة شبكات المياه,2010
E,2,16,صيانة شبكات الإنارة العامة,2010
E,3,1,إنشاء المباني,2010
E,3,2,إنشاء شبكات الإنارة العامة,2010
E,3,3,إنشاء شبكات المياه,2010
E,3,4,إنشاء شبكات المجارير,2010
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2010
E,3,6,إنشاء الحدائق,2010
E,3,7,إنشاء الملاعب والمسابح,2010
E,3,8,إنشاءات أخرى,2010
E,3,9,نفقات الدروس,2010
E,3,10,تعويضات الإستملاك,2010
E,3,11,شراء الأبنية,2010
E,3,12,شراء العقارات,2010
E,4,1,التخصيصات الصحية,2010
E,4,2,مساعدة المعوزين,2010
E,4,3,مساعدة الأوقاف الخيرية,2010
E,4,4,المساهمة في النشاطات الثقافية,2010
E,4,5,المساهمة في النشاطات التربوية,2010
E,4,6,المساهمة في النشاطات الرياضية,2010
E,4,7,المساهمة في النشاطات الاجتماعية,2010
E,4,8,المنح والجوائز المدرسية,2010
E,4,9,مساعدة المدارس,2010
E,4,10,مساعدة المكتبات,2010
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2010
E,4,12,مساهمات إلى القطاع العام,2010
E,5,1,الاستقبالات,2010
E,5,2,الاحتفالات والمهرجانات,2010
E,5,4,المساهمة في موازنة اتحاد البلديات,2010
E,5,5,رديات,2010
E,5,6,نفقات التأمين,2010
E,1,1,تعويضات الرئاسة,2011
E,1,2,رواتب الموظفين,2011
E,1,3,بدلات التعاقد,2011
E,1,4,أجور الأجراء,2011
E,1,5,عائدات الجباية والغرامة,2011
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2011
E,1,7,اللوازم,2011
E,1,8,الملابس,2011
E,1,9,بدلات الإيجار والخدمات المشتركة,2011
E,1,10,المخابرات الهاتفية والبريد والبرق,2011
E,1,11,نفقات إدارية أخرى,2011
E,2,1,التجهيزات,2011
E,2,2,صيانة التجهيزات والآليات,2011
E,2,3,المفروشات,2011
E,2,4,النظافة العامة,2011
E,2,5,صيانة المباني,2011
E,2,6,شراء الآليات,2011
E,2,7,مكافحة الحشرات,2011
E,2,8,لوازم التنظيفات,2011
E,2,9,المحروقات,2011
E,2,10,أجور النقل والانتقال,2011
E,2,11,أجور العمّال اليوميين,2011
E,2,12,بدلات استهلاك الكهرباء,2011
E,2,13,بدلات اشتراك المياه,2011
E,2,14,صيانة الطرق العامة,2011
E,2,15,صيانة شبكات المياه,2011
E,2,16,صيانة شبكات الإنارة العامة,2011
E,3,1,إنشاء المباني,2011
E,3,2,إنشاء شبكات الإنارة العامة,2011
E,3,3,إنشاء شبكات المياه,2011
E,3,4,إنشاء شبكات المجارير,2011
E,1,1,تعويضات الرئاسة,2015
I,1,19,رسم الإستثمار للإعلان الدائم,2005
I,1,20,رسم الإستثمار للإعلان المؤقت,2005
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2005
I,1,26,الرسم النسبي على المزايدات,2005
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2005
I,1,31,رسم تسجيل عقود الإيجار,2005
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2005
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2005
I,1,36,واردات مباشرة غير ملحوظة,2005
I,3,1,الحصة العائدة لدعم الموازنة,2005
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2005
I,4,1,المساعدات,2005
I,4,2,الفوائد,2005
I,4,3,القروض,2005
I,4,4,الهبات والوصايا,2005
I,4,5,الغرامات,2005
I,4,6,حاصلات الأملاك المبنية والمشاعات,2005
E,2,16,صيانة شبكات الإنارة العامة,2005
I,4,9,سائر العائدات غير الملحوظة,2005
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2005
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2005
I,2,4,علاوة على قيمة أجور المخابرات وبدل الاشتراك,2005
I,2,5,علاوة على قيمة الطاقة الكهربائية المستهلكة,2005
I,2,6,علاوة على قيمة المياه المستهلكة,2005
I,2,7,ضريبة التحسين,2005
E,1,7,اللوازم,2005
E,1,9,بدلات الإيجار والخدمات المشتركة,2005
E,1,10,المخابرات الهاتفية والبريد والبرق,2005
E,1,11,نفقات إدارية أخرى,2005
E,2,5,صيانة المباني,2005
E,2,8,لوازم التنظيفات,2005
E,2,10,أجور النقل والانتقال,2005
E,2,11,أجور العمّال اليوميين,2005
E,2,12,بدلات استهلاك الكهرباء,2005
E,2,13,بدلات اشتراك المياه,2005
E,2,14,صيانة الطرق العامة,2005
E,2,15,صيانة شبكات المياه,2005
E,3,8,إنشاءات أخرى,2005
E,3,10,تعويضات الإستملاك,2005
E,3,11,شراء الأبنية,2005
E,5,6,نفقات التأمين,2005
E,5,9,المصاريف الأخرى غير الملحوظة,2005
E,3,12,شراء العقارات,2005
E,4,12,مساهمات إلى القطاع العام,2005
I,2,8,عائدات أخرى,2005
I,4,7,النقد المدور,2005
E,5,7,إيفاء القروض,2005
E,1,1,تعويضات الرئاسة,2004
E,1,2,رواتب الموظفين,2004
E,1,3,بدلات التعاقد,2004
E,1,4,أجور الأجراء,2004
E,1,5,عائدات الجباية والغرامة,2004
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2004
E,1,7,اللوازم,2004
E,1,8,الملابس,2004
E,1,9,بدلات الإيجار والخدمات المشتركة,2004
E,1,10,المخابرات الهاتفية والبريد والبرق,2004
E,1,11,نفقات إدارية أخرى,2004
E,2,1,التجهيزات,2004
E,2,2,صيانة التجهيزات والآليات,2004
E,2,3,المفروشات,2004
E,2,4,النظافة العامة,2004
E,2,5,صيانة المباني,2004
E,2,6,شراء الآليات,2004
E,2,7,مكافحة الحشرات,2004
E,2,8,لوازم التنظيفات,2004
E,2,9,المحروقات,2004
E,2,10,أجور النقل والانتقال,2004
E,2,11,أجور العمّال اليوميين,2004
E,2,12,بدلات استهلاك الكهرباء,2004
E,2,13,بدلات اشتراك المياه,2004
E,2,14,صيانة الطرق العامة,2004
E,2,15,صيانة شبكات المياه,2004
E,2,16,صيانة شبكات الإنارة العامة,2004
E,3,1,إنشاء المباني,2004
E,3,2,إنشاء شبكات الإنارة العامة,2004
E,3,3,إنشاء شبكات المياه,2004
E,3,4,إنشاء شبكات المجارير,2004
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2004
E,3,6,إنشاء الحدائق,2004
E,3,7,إنشاء الملاعب والمسابح,2004
E,3,8,إنشاءات أخرى,2004
E,3,9,نفقات الدروس,2004
E,3,10,تعويضات الإستملاك,2004
E,3,11,شراء الأبنية,2004
E,3,12,شراء العقارات,2004
E,4,1,التخصيصات الصحية,2004
E,4,2,مساعدة المعوزين,2004
E,4,3,مساعدة الأوقاف الخيرية,2004
E,4,4,المساهمة في النشاطات الثقافية,2004
E,4,5,المساهمة في النشاطات التربوية,2004
E,4,6,المساهمة في النشاطات الرياضية,2004
E,4,7,المساهمة في النشاطات الاجتماعية,2004
E,4,8,المنح والجوائز المدرسية,2004
E,4,9,مساعدة المدارس,2004
E,4,10,مساعدة المكتبات,2004
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2004
E,4,12,مساهمات إلى القطاع العام,2004
E,5,1,الاستقبالات,2004
E,5,2,الاحتفالات والمهرجانات,2004
E,5,4,المساهمة في موازنة اتحاد البلديات,2004
E,5,5,رديات,2004
E,5,6,نفقات التأمين,2004
E,5,7,إيفاء القروض,2004
E,5,9,المصاريف الأخرى غير الملحوظة,2004
E,6,1,احتياط الموازنة,2004
I,1,1,رسم على القيمة التأجيرية (سكن),2004
I,1,2,رسم على القيمة التأجيرية (غير سكن),2004
I,1,3,رسم صيانة المجارير والأرصفة,2004
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2004
I,1,9,رسم الترخيص للمؤسسات المصنفة,2004
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2004
I,1,11,رسم الترخيص بالبناء,2004
I,1,13,رسم إنفاق في وجوه محددة,2004
I,1,14,رسم تصوينة,2004
I,1,15,رسم الترميم,2004
I,1,16,رسم إنشاء مجارير وأرصفة,2004
I,1,17,رسم المرآب,2004
I,1,19,رسم الإستثمار للإعلان الدائم,2004
I,1,20,رسم الإستثمار للإعلان المؤقت,2004
I,4,2,الفوائد,2006
I,4,3,القروض,2006
I,4,4,الهبات والوصايا,2006
I,4,5,الغرامات,2006
I,4,6,حاصلات الأملاك المبنية والمشاعات,2006
I,4,7,النقد المدور,2006
I,4,9,سائر العائدات غير الملحوظة,2006
E,1,1,تعويضات الرئاسة,2007
E,1,2,رواتب الموظفين,2007
E,1,3,بدلات التعاقد,2007
E,1,4,أجور الأجراء,2007
E,1,5,عائدات الجباية والغرامة,2007
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2007
E,1,7,اللوازم,2007
E,1,8,الملابس,2007
E,1,9,بدلات الإيجار والخدمات المشتركة,2007
E,1,10,المخابرات الهاتفية والبريد والبرق,2007
E,1,11,نفقات إدارية أخرى,2007
E,2,1,التجهيزات,2007
E,2,2,صيانة التجهيزات والآليات,2007
E,2,3,المفروشات,2007
E,2,4,النظافة العامة,2007
E,2,5,صيانة المباني,2007
E,2,6,شراء الآليات,2007
E,2,7,مكافحة الحشرات,2007
E,2,8,لوازم التنظيفات,2007
E,2,9,المحروقات,2007
E,2,10,أجور النقل والانتقال,2007
E,2,11,أجور العمّال اليوميين,2007
E,2,12,بدلات استهلاك الكهرباء,2007
E,2,13,بدلات اشتراك المياه,2007
E,2,14,صيانة الطرق العامة,2007
E,2,15,صيانة شبكات المياه,2007
I,1,20,رسم الإستثمار للإعلان المؤقت,2018
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2018
I,1,26,الرسم النسبي على المزايدات,2018
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2018
I,1,31,رسم تسجيل عقود الإيجار,2018
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2018
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2018
I,1,36,واردات مباشرة غير ملحوظة,2018
I,1,37,غرامات الاعمال غير المنفذة من البناء,2018
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2018
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2018
E,1,1,تعويضات الرئاسة,2017
E,1,2,رواتب الموظفين,2017
E,1,3,بدلات التعاقد,2017
E,1,4,أجور الأجراء,2017
E,1,5,عائدات الجباية والغرامة,2017
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2017
E,1,7,اللوازم,2017
E,1,8,الملابس,2017
E,1,9,بدلات الإيجار والخدمات المشتركة,2017
E,1,10,المخابرات الهاتفية والبريد والبرق,2017
E,1,11,نفقات إدارية أخرى,2017
E,2,1,التجهيزات,2017
E,2,2,صيانة التجهيزات والآليات,2017
E,2,3,المفروشات,2017
E,2,4,النظافة العامة,2017
E,2,5,صيانة المباني,2017
E,2,6,شراء الآليات,2017
E,2,7,مكافحة الحشرات,2017
E,2,8,لوازم التنظيفات,2017
E,2,9,المحروقات,2017
E,2,10,أجور النقل والانتقال,2017
E,2,11,أجور العمّال اليوميين,2017
E,2,12,بدلات استهلاك الكهرباء,2017
E,2,13,بدلات اشتراك المياه,2017
E,2,14,صيانة الطرق العامة,2017
E,2,15,صيانة شبكات المياه,2017
E,2,16,صيانة شبكات الإنارة العامة,2017
E,3,1,إنشاء المباني,2017
E,3,2,إنشاء شبكات الإنارة العامة,2017
E,3,3,إنشاء شبكات المياه,2017
E,3,4,إنشاء شبكات المجارير,2017
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2017
E,3,6,إنشاء الحدائق,2017
E,3,7,إنشاء الملاعب والمسابح,2017
E,3,8,إنشاءات أخرى,2017
E,3,9,نفقات الدروس,2017
E,3,10,تعويضات الإستملاك,2017
E,3,11,شراء الأبنية,2017
E,3,12,شراء العقارات,2017
E,4,1,التخصيصات الصحية,2017
E,4,2,مساعدة المعوزين,2017
E,4,3,مساعدة الأوقاف الخيرية,2017
E,4,4,المساهمة في النشاطات الثقافية,2017
E,4,5,المساهمة في النشاطات التربوية,2017
E,4,6,المساهمة في النشاطات الرياضية,2017
E,4,7,المساهمة في النشاطات الاجتماعية,2017
E,4,8,المنح والجوائز المدرسية,2017
E,4,9,مساعدة المدارس,2017
E,4,10,مساعدة المكتبات,2017
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2017
E,4,12,مساهمات إلى القطاع العام,2017
E,5,1,الاستقبالات,2017
E,5,2,الاحتفالات والمهرجانات,2017
E,5,4,المساهمة في موازنة اتحاد البلديات,2017
E,5,5,رديات,2017
E,5,6,نفقات التأمين,2017
E,5,7,إيفاء القروض,2017
E,5,9,المصاريف الأخرى غير الملحوظة,2017
E,6,1,احتياط الموازنة,2017
I,1,1,رسم على القيمة التأجيرية (سكن),2017
I,1,2,رسم على القيمة التأجيرية (غير سكن),2017
I,1,3,رسم صيانة المجارير والأرصفة,2017
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2017
I,1,9,رسم الترخيص للمؤسسات المصنفة,2017
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2017
I,1,11,رسم الترخيص بالبناء,2017
I,1,13,رسم إنفاق في وجوه محددة,2017
I,1,14,رسم تصوينة,2017
I,1,15,رسم الترميم,2017
I,1,16,رسم إنشاء مجارير وأرصفة,2017
I,1,17,رسم المرآب,2017
I,1,19,رسم الإستثمار للإعلان الدائم,2017
I,1,20,رسم الإستثمار للإعلان المؤقت,2017
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2017
I,1,26,الرسم النسبي على المزايدات,2017
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2017
I,1,31,رسم تسجيل عقود الإيجار,2017
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2017
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2017
I,1,36,واردات مباشرة غير ملحوظة,2017
I,1,37,غرامات الاعمال غير المنفذة من البناء,2017
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2017
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2017
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2017
I,2,7,ضريبة التحسين,2017
I,2,8,عائدات أخرى,2017
I,3,1,الحصة العائدة لدعم الموازنة,2017
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2017
I,4,1,المساعدات,2017
I,4,2,الفوائد,2017
I,4,3,القروض,2017
I,4,4,الهبات والوصايا,2017
I,4,5,الغرامات,2017
I,4,6,حاصلات الأملاك المبنية والمشاعات,2017
I,4,7,النقد المدور,2017
I,4,9,سائر العائدات غير الملحوظة,2017
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2018
I,2,7,ضريبة التحسين,2018
I,2,8,عائدات أخرى,2018
I,3,1,الحصة العائدة لدعم الموازنة,2018
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2018
I,4,1,المساعدات,2018
I,4,2,الفوائد,2018
I,4,3,القروض,2018
I,4,4,الهبات والوصايا,2018
I,4,5,الغرامات,2018
I,4,6,حاصلات الأملاك المبنية والمشاعات,2018
I,4,7,النقد المدور,2018
I,4,9,سائر العائدات غير الملحوظة,2018
E,1,1,تعويضات الرئاسة,2019
E,1,2,رواتب الموظفين,2019
E,1,3,بدلات التعاقد,2019
E,1,4,أجور الأجراء,2019
E,1,5,عائدات الجباية والغرامة,2019
I,1,1,رسم على القيمة التأجيرية (سكن),2023
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2019
E,1,7,اللوازم,2019
E,1,8,الملابس,2019
E,1,9,بدلات الإيجار والخدمات المشتركة,2019
E,1,10,المخابرات الهاتفية والبريد والبرق,2019
E,1,11,نفقات إدارية أخرى,2019
E,2,1,التجهيزات,2019
E,2,2,صيانة التجهيزات والآليات,2019
E,2,3,المفروشات,2019
E,2,4,النظافة العامة,2019
E,2,5,صيانة المباني,2019
E,2,6,شراء الآليات,2019
E,2,7,مكافحة الحشرات,2019
E,2,8,لوازم التنظيفات,2019
E,2,9,المحروقات,2019
E,2,10,أجور النقل والانتقال,2019
E,2,11,أجور العمّال اليوميين,2019
E,2,12,بدلات استهلاك الكهرباء,2019
E,2,13,بدلات اشتراك المياه,2019
E,2,14,صيانة الطرق العامة,2019
E,2,15,صيانة شبكات المياه,2019
E,2,16,صيانة شبكات الإنارة العامة,2019
E,3,1,إنشاء المباني,2019
E,3,2,إنشاء شبكات الإنارة العامة,2019
E,3,3,إنشاء شبكات المياه,2019
E,3,4,إنشاء شبكات المجارير,2019
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2019
E,3,6,إنشاء الحدائق,2019
E,3,7,إنشاء الملاعب والمسابح,2019
E,3,8,إنشاءات أخرى,2019
E,3,9,نفقات الدروس,2019
E,3,10,تعويضات الإستملاك,2019
E,3,11,شراء الأبنية,2019
E,3,12,شراء العقارات,2019
E,1,1,تعويضات الرئاسة,2020
E,1,2,رواتب الموظفين,2020
E,1,3,بدلات التعاقد,2020
E,1,4,أجور الأجراء,2020
E,1,5,عائدات الجباية والغرامة,2020
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2020
E,1,7,اللوازم,2020
E,1,8,الملابس,2020
E,1,9,بدلات الإيجار والخدمات المشتركة,2020
E,1,10,المخابرات الهاتفية والبريد والبرق,2020
E,1,11,نفقات إدارية أخرى,2020
E,2,1,التجهيزات,2020
E,2,2,صيانة التجهيزات والآليات,2020
E,2,3,المفروشات,2020
E,2,4,النظافة العامة,2020
E,2,5,صيانة المباني,2020
E,2,6,شراء الآليات,2020
E,2,7,مكافحة الحشرات,2020
E,2,8,لوازم التنظيفات,2020
E,2,9,المحروقات,2020
E,2,10,أجور النقل والانتقال,2020
E,2,11,أجور العمّال اليوميين,2020
E,2,12,بدلات استهلاك الكهرباء,2020
E,2,13,بدلات اشتراك المياه,2020
