CHAPTER_TYPE,CHAPTER,SECTION,DESCRIPT,BUDGET_YEAR
E,4,3,مساعدة الأوقاف الخيرية,2005
E,4,4,المساهمة في النشاطات الثقافية,2005
E,4,5,المساهمة في النشاطات التربوية,2005
E,4,6,المساهمة في النشاطات الرياضية,2005
E,4,7,المساهمة في النشاطات الاجتماعية,2005
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2023
I,1,11,رسم الترخيص بالبناء,2023
I,1,13,رسم إنفاق في وجوه محددة,2023
I,1,14,رسم تصوينة,2023
I,1,15,رسم الترميم,2023
I,1,16,رسم إنشاء مجارير وأرصفة,2023
I,1,17,رسم المرآب,2023
I,1,19,رسم الإستثمار للإعلان الدائم,2023
I,1,20,رسم الإستثمار للإعلان المؤقت,2023
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2023
I,1,26,الرسم النسبي على المزايدات,2023
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2023
I,1,31,رسم تسجيل عقود الإيجار,2023
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2023
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2023
I,1,36,واردات مباشرة غير ملحوظة,2023
I,1,37,غرامات الاعمال غير المنفذة من البناء,2023
I,1,38,رسم المرآب السنوي على المؤسسات السياحية,2023
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2023
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2023
I,2,7,ضريبة التحسين,2023
I,2,8,عائدات أخرى,2023
I,3,1,الحصة العائدة لدعم الموازنة,2023
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2023
I,4,1,المساعدات,2023
I,4,2,الفوائد,2023
I,4,3,القروض,2023
I,4,4,الهبات والوصايا,2023
I,4,5,الغرامات,2023
I,4,6,حاصلات الأملاك المبنية والمشاعات,2023
I,4,7,النقد المدور,2023
I,4,9,سائر العائدات غير الملحوظة,2023
E,1,1,تعويضات الرئاسة,2023
E,1,2,رواتب الموظفين,2023
E,1,3,بدلات التعاقد,2023
E,1,4,أجور الأجراء,2023
E,1,5,عائدات الجباية والغرامة,2023
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2023
E,1,7,اللوازم,2023
E,1,8,الملابس,2023
E,1,9,بدلات الإيجار والخدمات المشتركة,2023
E,1,10,المخابرات الهاتفية والبريد والبرق,2023
E,1,11,نفقات إدارية أخرى,2023
E,2,1,التجهيزات,2023
E,2,2,صيانة التجهيزات والآليات,2023
E,2,3,المفروشات,2023
E,2,4,النظافة العامة,2023
E,2,5,صيانة المباني,2023
E,2,6,شراء الآليات,2023
E,2,7,مكافحة الحشرات,2023
E,2,8,لوازم التنظيفات,2023
E,2,9,المحروقات,2023
E,2,10,أجور النقل والانتقال,2023
E,2,11,أجور العمّال اليوميين,2023
E,2,12,بدلات استهلاك الكهرباء,2023
E,2,13,بدلات اشتراك المياه,2023
E,2,14,صيانة الطرق العامة,2023
E,2,15,صيانة شبكات المياه,2023
E,2,16,صيانة شبكات الإنارة العامة,2023
E,3,1,إنشاء المباني,2023
E,3,2,إنشاء شبكات الإنارة العامة,2023
E,3,3,إنشاء شبكات المياه,2023
E,3,4,إنشاء شبكات المجارير,2023
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2023
E,3,6,إنشاء الحدائق,2023
E,3,7,إنشاء الملاعب والمسابح,2023
E,3,8,إنشاءات أخرى,2023
E,3,9,نفقات الدروس,2023
E,3,10,تعويضات الإستملاك,2023
E,3,11,شراء الأبنية,2023
E,3,12,شراء العقارات,2023
E,4,1,التخصيصات الصحية,2023
E,4,2,مساعدة المعوزين,2023
E,4,3,مساعدة الأوقاف الخيرية,2023
